Signé,Nom luminaire,Artiste / Dates,Année,Catégorie,Editeur,Spécialité,Collaboration / Œuvre,Description,Matériaux,Dimensions,Estimation,Image luminaire (Nom du fichier),Image designer (imagedesigner),Lien site marchand,Etiquette,Bibliographie
Non,Orion,06D Atelier (?-?).,2018,Suspension,,Duo de designers italiens basé à Londres fondé par Mauro Fragiotta et Francesca Adami.,,"Orion est une lampe sculpturale dont le design se distingue par sa géométrie multifacette. Elle diffuse la lumière grâce à un ensemble de bandes LED et diffuse un jeu de lumière magique dans l'espace, jouant avec les reflets du métal doré. Elle est composée d'une série de plaques d'acier de 2 mm d'épaisseur, découpées au laser, pliées et façonnées, soudées et fraisées, puis finies à la main pour obtenir un fini satiné doux et réfléchissant, sans effet miroir. L'Orion Gold Edition est disponible en édition limitée de 33 exemplaires signés et sérigraphiés.",Laiton,Largeur : 49 hauteur : 25 longueur : 158,19 860 €,luminaire_5966.jpg,,,"Suspension, Doré, Laiton, Haut de gamme, Contemporain",
Oui,,A. Boyreau (?-?).,Ca 1930,Suspension,A. Boyreau Bordeaux,Verrier établi à Bordeaux créateur de luminaires.,Hanots,Un beau lustre fleuri de la période Art Déco avec six panneaux en verre d'art dépoli à motif de tournesol bulbeux dans un cadre original en bronze nickelé avec des bords festonnés et un motif de tournesol assorti sur la verrière.,"Verre, Bronze","Hauteur : 68,58 cm Diamètre : 58,42 cm ",,luminaire_1745.jpg,,,"Suspension, Art déco, Chrome / Argenté, Verre, Milieu de gamme",
Non,Modèle 1063,A.Marciniak (?-?).,Ca 1930,Lampe à poser,Żyrandoli Elektrycznych,Fabricant de luminaire polonais.,,La lampe a été produite dans les années 1930 dans l'usine de lustres électriques d'Antoni Marciniak à Varsovie.,Métal,"H : 43 cm, diamètre cloza 15 cm",100 € - 200 €,luminaire_1426.jpg,,,"Lampe de table, Métal (acier, fer...), Industriel, Années 20-30, Noir, Pas cher",
Non,,A.Tonello et A. Montagna Grillo (?-?).,Ca 1970,Lampe à poser,HIGH SOCIETY,Designer italien.,High Society,"Lampes de table en laiton originales des années 70, production de la HIGH SOCIETY sur le design des architectes Mountain Grillo et Tonello",Laiton,"43 cm de hauteur totale, cm 25 sans abat-jours",400 €,luminaire_4083.jpg,,,"Lampe de table, Années 70, Milieu de gamme, Laiton",
Non,Pyramide,A.Tonello et A. Montagna Grillo (?-?).,Ca 1970,Lampe à poser,High Society,Designer italien.,High Society,"Lampe dont le pied en métal chromé est formé de deux pyramides triangulaires, chacune légèrement vrillée, positionnées tête à tête, la torsion finale étant de 90 degrés.",Métal doré,H : 56 cm - L : 12 cm - P : 12 cm - Diam : 30 cm,300 €,luminaire_4084.jpg,,,"Lampe de table, Chrome / Argenté, Space Age, Années 70, Géométrique / Droit, Milieu de gamme","La rivista dell'arredamento Interni 69 (settembre 1972), inserto ""Il corriere dell'arredamento"""
Non,Pyramide,A.Tonello et A. Montagna Grillo (?-?).,Ca 1970,Lampadaire,High Society,Designer italien.,High Society,,Métal nickel,"Hauteur : 173 cm, Diamètre : 50 cm",1000 €,luminaire_4085.jpg,,,"Lampadaire, Années 70, Métal (acier, fer...), Chrome / Argenté, Tissu, Milieu de gamme",
Non,Hippo,A+A Cooren (1999 - ).,2011,Suspension,Vertigo Bird,Designers français Aki et Arnaud Cooren.,"Vertigobird, Kundalini, Yamagiwa,","Aussi joyeux qu’une tête d’hippo, Hippo est unique, amical, poétique, joueur et plein de personnalité avec des possibilités infinies d’arrangements dans l’espace intérieur.",,"Dimension de la tête : Dia. 20cm, L 27cm",500 €,luminaire_8790.jpg,,,"Suspension, Pas cher, Contemporain, Opaline, Blanc, Organique / Courbe",
Non,Ishigaki,A+A Cooren (1999 - ).,2020,Lampadaire,,Designers français Aki et Arnaud Cooren.,"Vertigobird, Kundalini, Yamagiwa,",,"Lin, Carbone, Résine, Acier, Bambou",H:75,W:26,luminaire_8794.jpg,,,"Contemporain, Lampadaire, Haut de gamme, Métal (acier, fer...), Organique / Courbe",
Non,Kokeshi,A+A Cooren (1999 - ).,2012,Lampe à poser,Vertigo Bird,Designers français Aki et Arnaud Cooren.,"Vertigobird, Kundalini, Yamagiwa,","Inspirée du jouet en bois traditionnel japonais, la lampe Kokeshi incarne l'élégance et la chaleur, diffusant une lumière douce et confortable.‎ Son design polyvalent lui permet d’être placée près du lit, sur une table ou sur une armoire, ajoutant une touche de caractère à tout intérieur.‎ La tête lumineuse de la Kokeshi diffuse une lumière chaleureuse et ciblée, tandis que son corps en bois évoque la sensation artisanale et réconfortante du jouet traditionnel.‎ Cette fusion de simplicité et de tradition fait de la lampe Kokeshi un ajout charmant et fonctionnel à tout espace.‎",Bois,"H : 40 cm, D : 32 cm",460 €,luminaire_8791.jpg,,,"Lampe de table, Verre, Bois, Blanc, Contemporain, Milieu de gamme",
Non,Loup,A+A Cooren (1999 - ).,,Suspension,KUNDALINI,Designers français Aki et Arnaud Cooren.,"Vertigobird, Kundalini, Yamagiwa,",La suspension minimaliste Loup-o est dotée de spots directs et indirects. Ce luminaire en métal est disponible en noir mat ou en blanc.,Métal,"H : 44 cm, D : 18 cm",,luminaire_8792.jpg,,,"Suspension, Métal (acier, fer...), Géométrique / Droit, Contemporain, Milieu de gamme",
Non,Orbit spot,A+A Cooren (1999 - ).,2010,Lampe à poser,YMER&MALTA,Designers français Aki et Arnaud Cooren.,"Vertigobird, Kundalini, Yamagiwa,","Petite comète lumineuse sortie de son orbite, le spot Orbit d'A+A cooren pour Ymer&Malta s'équilibre grâce à son centre de gravité. On peut le positionner de différentes manières et jouer avec la lumière, oblique ou plus verticale, grâce à la transparence du marbre. Disponible en marbre de Carrare noir ou blanc, en 3 tailles et avec lampe LED, Orbit est une édition limitée à 20 exemplaires, signée Ymer&Malta.",Marbre,L.30 x H.33 cm,,luminaire_8793.jpg,,,"Lampe de table, Milieu de gamme, Marbre, Globe / Sphère, Contemporain",
Non,,Aage Herlow (1892 - 1986).,Ca 1960,Suspension,,Artiste danois.,Fog & Morup,,Laiton,,,luminaire_2094.jpg,,,"Plafonnier / Lustre, Laiton, Doré, Milieu de gamme, Suspension, Vintage",
Non, Hans Agnes Jakobsson,Aage Herlow (1892 - 1986).,,,,Artiste danois.,Fog & Morup,"Suspension se composant d'un abat-jour cylindrique en verre fumé avec un diffuseur interne perforé, fixé à l'aide de trois vis et une base élancée, le tout en laiton.",Verre,"Diamètre 30cm, Hauteur 85cm",1 500 €,luminaire_2095.jpg,,,"Suspension, Verre, Coloré, Années 50-60 (Mid-century), Vintage, Géométrique / Droit, Transparent / Fumé, Milieu de gamme",
Non,,Aage Herlow (1892 - 1986).,,Suspension,,Artiste danois.,Fog & Morup,,Laiton,,,luminaire_2096.jpg,,,"Plafonnier / Lustre, Années 50-60 (Mid-century), Laiton, Milieu de gamme",
Non,Attribué,Aage Herlow (1892 - 1986).,,Applique,,Artiste danois.,Fog & Morup,,Laiton,,,luminaire_2097.jpg,,,"Applique murale, Laiton, Doré, Milieu de gamme, Années 50-60 (Mid-century)",
Non,Eglise Saint Michaelis,Aage Herlow (1892 - 1986).,1956,Suspension,Fog & Mørup,Artiste danois.,Fog & Morup,"Spécialement commandée pour cette église, cette lampe monumentale n'a été produite qu'en huit exemplaires. Vendue avec des copies des dessins originaux et une facture de Fog & Mørup.","aluminium émaillé, laiton","H : 102 cm, D : 48 cm",8 000 €,luminaire_2098.jpg,,,"Suspension, Métal (acier, fer...), Milieu de gamme, Géométrique / Droit, Vintage",
Non,Eglise Saint Michaelis,Aage Herlow (1892 - 1986).,1956,Suspension,Fog & Morup,Artiste danois.,Fog & Morup,"Spécialement commandée pour cette église, cette lampe monumentale n'a été produite qu'en huit exemplaires. Vendue avec des copies des dessins originaux et une facture de Fog & Mørup.",Métal,,8 000 €,luminaire_2099.jpg,,,,
Non,,Aage Holm Sorensen (1913 - 2004).,,,,Designer danois surtout connu pour sa vaste collection de luminaires.,"Warm Nordic, Holm Sorensen & Co, ASEA",Structure en teck à base tripode et entretoise intermédiaire. Reflecteur en verre bleu et diffuseur en verre opalin.,"Teck, Verre",137.5 cm hauteur,5 000 €,luminaire_3173.jpg,,,"Lampadaire, Scandinave, Années 50-60 (Mid-century), Bois, Verre, Haut de gamme",
